dataset,model,regime,n_series,n_points,mape_median,mape_percent_median,mape_percent_iqr,smape_percent_median,smape_percent_iqr,mase_median,mase_iqr,rmse_median,rmse_iqr,ecp_mean,mean_width_median,msis_median
M3,ETS,shock,111,,0.0873975387996192,8.73975387996192,,8.482963812978763,,0.5898253140188707,,467.2060037792013,,0.9320821397291986,,3.4565970431081405
M3,EasyTSF-DLinear,non_shock,200,3414,,9.612452003464306,18.582439456039847,10.004983549377535,16.1600502073734,0.8047275386268551,0.6710390900300236,631.8551226566674,753.8200478731701,0.8999498691667809,2343.4275101241965,4.4883626995204065
M3,EasyTSF-DLinear,shock,46,186,,23.125849570909175,27.925772972848748,24.301451018085217,26.08682605011679,2.4392843162275466,1.7416670184807082,1346.0062438218229,1699.2524671809413,0.6027667984189723,3527.478995162829,10.793797599580216
M3,EasyTSF-NLinear,non_shock,200,3414,,9.89018120937364,19.441359913799122,9.550640125016344,18.07821848174345,0.8034042102050962,0.6181324471682798,643.1851633167603,737.7116777271474,0.9296194695827049,2785.2036110990457,4.890369774233781
M3,EasyTSF-NLinear,shock,46,186,,20.78383963093289,23.37888688800857,21.815851522132114,26.788285313987643,2.1312575499332187,1.4046213201971582,1286.4147457842892,1461.4922885909289,0.6640410314323357,3377.9073797359515,8.836381762161327
M3,GPR,non_shock,88,,0.02606079665178305,2.6060796651783087,,2.6012325676054404,,0.39138960959507163,,177.8089439811703,,0.9306580462763617,,2.2222521371422785
M3,GPR,shock,111,,0.0906869563046497,9.06869563046498,,9.197179153281498,,0.5636459343570326,,519.7074414022566,,0.9256424771130655,,3.23472739969347
M3,KRR,non_shock,88,,0.04985413034105365,4.98541303410537,,4.829695467490036,,0.643347969908551,,320.717710102869,,0.9190202522522042,,3.154886103461177
M3,KRR,shock,111,,0.1128578450722135,11.285784507221358,,11.989829799492806,,0.6321928327292948,,618.0539810172506,,0.922575575369693,,3.4951272232595656
M3,LSTM,non_shock,200,3414,,13.290156814699152,22.30997077498252,13.3350452491013,21.346962312229092,1.1023114185023453,1.0802280127880315,754.6142581753452,817.8927269487638,0.9094877936605877,2872.416536458333,5.332268734347782
M3,LSTM,shock,46,186,,25.957241992563695,27.996933142017852,29.058313441216622,28.47772382259622,3.416043744024618,2.495667818409113,1641.9266396624948,1644.7176564960882,0.623341332580463,3810.12060546875,13.326548109545456
M3,Naive,non_shock,88,,0.0206342138805325,2.063421388053258,,2.098586333079521,,0.34126072849641087,,174.24675099866175,,0.9303755747372058,,2.2322201339502095
M3,Naive,shock,111,,0.0991962544325206,9.91962544325206,,9.726292434217546,,0.6582185491276401,,552.2700356779212,,0.9307948322654206,,3.9798807749627434
M3,S3FastSketchForecaster,non_shock,88,,0.04848551273104265,4.848551273104272,,4.775855074266956,,0.5956010998261099,,336.9806512765331,,0.8558453099930372,,2.721850076088664
M3,S3FastSketchForecaster,shock,111,,0.130797650870297,13.0797650870297,,12.220847237122571,,0.7338713747841429,,713.223528867753,,0.8226830893007364,,3.6676304512164415
M3,S3Forecaster,non_shock,88,,0.029509390391287797,2.950939039128786,,2.9003465032373246,,0.3797657414198651,,199.7806916798928,,0.9512237762237763,,2.992679972236432
M3,S3Forecaster,shock,111,,0.0984813006985416,9.848130069854165,,10.041021779037724,,0.5968655686428268,,545.2031709299423,,0.9187635743518097,,3.160581198235464
M3,SeasonalNaive,non_shock,88,,0.06326171606663045,6.326171606663051,,6.295395920044767,,0.8735806451024009,,399.8251254818638,,0.9208739845270594,,4.219758239988359
M3,SeasonalNaive,shock,111,,0.1356495396347963,13.564953963479631,,13.995071446113284,,0.7595921861623472,,749.244063484434,,0.9191215505921388,,4.766382991796983
M3,Theta,non_shock,88,,0.0221007595596706,2.210075955967067,,2.2029820618823805,,0.32430529640941536,,176.66231342360015,,0.9316005429508103,,1.997974546666918
M3,Theta,shock,111,,0.0815841069395964,8.158410693959643,,8.096515083610452,,0.5366823355090382,,440.6125912254919,,0.9313314939785529,,3.3960328685302112
M3,TimesFM-2.5-200M,non_shock,200,3414,,7.815047466690594,15.965916984162776,7.9206125874442,15.455030472989769,0.6722173971990494,0.5152111504500043,526.3016588162934,654.7491441358271,0.917751639700169,2237.5146484375,3.914432381160205
M3,TimesFM-2.5-200M,shock,46,186,,21.498891297579746,22.089097886376827,24.219619151928228,27.26476283379429,2.3364799941677985,1.2806763268379013,1292.411383901772,1232.4678409989233,0.5839356295878035,3249.8408203125,9.335386302163613
Tourism,AR,non_shock,31,,0.1731622110509247,17.31622110509247,,16.269083564035142,,1.1537868284361,,547.7461545168894,,0.9129144655501854,,6.8387003913083575
Tourism,AR,shock,168,,0.2221345102840923,22.21345102840924,,20.41898263929178,,1.210901705673624,,612.8790240011672,,0.9083876344329307,,7.484743864340421
Tourism,ARIMA,non_shock,31,,0.273156483913301,27.315648391330104,,23.693986811941137,,2.070056851815225,,1051.8333221153696,,0.9051815218613016,,11.621224141272071
Tourism,ARIMA,shock,168,,0.318153169584672,31.815316958467207,,27.898187422251844,,1.8530419574353783,,899.6207682001572,,0.9012799724472199,,11.239657464973728
Tourism,ETS,non_shock,31,,0.1499407469272436,14.994074692724366,,14.224243119820542,,0.955186852816056,,414.1931430621347,,0.9058334269978645,,6.134828398792538
Tourism,ETS,shock,168,,0.1836671968995195,18.366719689951953,,17.357605210449726,,1.044249687614983,,500.12599509436944,,0.910274974734905,,6.52130335875006
Tourism,GPR,non_shock,31,,0.1483635288399453,14.836352883994538,,14.991496968822135,,1.1437736867211028,,533.4229875943563,,0.9089805552433404,,7.052613639821167
Tourism,GPR,shock,168,,0.21198689513008429,21.19868951300844,,18.975099709108022,,1.1663547140610193,,568.4601874898816,,0.9098663338210377,,7.686604246817106
Tourism,KRR,non_shock,31,,0.1853078995402014,18.530789954020147,,18.373727196021264,,1.4982961930155414,,612.1485711194545,,0.9074069911206025,,9.59986498601436
Tourism,KRR,shock,168,,0.2548357647055412,25.483576470554127,,23.345654556552937,,1.447415735496823,,725.6862173840684,,0.9073359277192031,,9.38332244068712
Tourism,Naive,non_shock,31,,0.3333351120643105,33.33351120643105,,30.22104714262184,,2.5048428404978167,,1409.6839725410175,,0.8994042935821064,,16.44260777414407
Tourism,Naive,shock,168,,0.3292967075153733,32.92967075153733,,30.47788885898729,,2.066808541637082,,1040.9835167966753,,0.8990360297851587,,12.804377006691617
Tourism,S3FastSketchForecaster,non_shock,31,,0.1491730154598667,14.917301545986676,,14.214924357760786,,0.9720903421932594,,407.5480033736841,,0.8402607620546252,,5.4672539698801925
Tourism,S3FastSketchForecaster,shock,168,,0.18666026510187728,18.666026510187738,,17.4717902894768,,1.0345206547912382,,514.7060081193288,,0.8498846101633558,,6.277612911753504
Tourism,S3Forecaster,non_shock,31,,0.1490460414859187,14.904604148591876,,14.634956121430823,,1.0020313422870948,,436.0940086440235,,0.8759357086658425,,5.660032764069421
Tourism,S3Forecaster,shock,168,,0.18721145030847275,18.72114503084728,,17.678897451621143,,1.0375619895548844,,509.9473275338253,,0.8895061868058385,,6.3376143353939085
Tourism,SeasonalNaive,non_shock,31,,0.1846117924462985,18.461179244629854,,18.81547828945384,,1.3048166184386214,,492.8317874606988,,0.9043947397999327,,7.386194759226134
Tourism,SeasonalNaive,shock,168,,0.24062510769596973,24.062510769596976,,22.776646867292374,,1.2659920039472787,,687.7074279752221,,0.9092794545756219,,8.026282258794385
Tourism,Theta,non_shock,31,,0.1347613568611113,13.47613568611113,,13.384981829584971,,0.9976903648929648,,534.9333242349212,,0.9168483758570305,,6.307316307719386
Tourism,Theta,shock,168,,0.19445576855164595,19.445576855164596,,17.460184820608724,,1.0269999523216795,,524.4932058520424,,0.9049592490359041,,6.59369102318408
